qasm_file,sabre_swaps,sabre_time_s,sabre_depth,sabre_2q_depth,sabre_size,sabre_ops_json,multilevel_swaps,multilevel_time_s,multilevel_depth,multilevel_2q_depth,multilevel_size,multilevel_ops_json,speedup,swap_reduction_pct,error
circuits/wstate_n118.qasm,24,0.139,259,161,611,"{""u3"": 234, ""cx"": 234, ""measure"": 118, ""swap"": 24, ""u"": 1, ""barrier"": 1}",17,0.8616,372,153,838,"{""u"": 469, ""cx"": 234, ""measure"": 118, ""swap"": 17, ""barrier"": 1}",0.1613,29.167,
circuits/swap_test_n83.qasm,153,0.0603,482,319,649,"{""cx"": 246, ""p"": 165, ""swap"": 153, ""unitary"": 41, ""u2"": 41, ""u"": 2, ""measure"": 1}",105,1.1469,506,297,887,"{""cx"": 328, ""p"": 287, ""u"": 166, ""swap"": 105, ""measure"": 1}",0.0526,31.373,
circuits/knn_67.qasm,124,0.05,396,264,524,"{""cx"": 198, ""p"": 133, ""swap"": 124, ""unitary"": 33, ""u2"": 33, ""u"": 2, ""measure"": 1}",82,0.9908,407,240,712,"{""cx"": 264, ""p"": 231, ""u"": 134, ""swap"": 82, ""measure"": 1}",0.0505,33.871,
circuits/dnn_n51.qasm,106,0.0591,289,191,508,"{""cx"": 150, ""swap"": 106, ""p"": 101, ""unitary"": 73, ""measure"": 51, ""u2"": 25, ""u"": 2, ""barrier"": 1}",106,1.3238,364,214,1116,"{""u"": 392, ""cx"": 392, ""p"": 175, ""swap"": 106, ""measure"": 51, ""barrier"": 1}",0.0446,0.0,
circuits/bv_n70.qasm,37,0.0272,64,61,281,"{""u"": 138, ""measure"": 69, ""swap"": 37, ""cx"": 36, ""barrier"": 2, ""u2"": 1}",33,0.6976,64,60,278,"{""u"": 140, ""measure"": 69, ""cx"": 36, ""swap"": 33, ""barrier"": 2}",0.039,10.811,
circuits/qft_n63.qasm,1455,0.3067,1577,964,6616,"{""u"": 3084, ""cx"": 2014, ""swap"": 1455, ""measure"": 63, ""barrier"": 1}",2548,11.9792,1672,1034,12439,"{""u"": 5922, ""cx"": 3906, ""swap"": 2548, ""measure"": 63, ""barrier"": 1}",0.0256,-75.12,
circuits/ghz_n78.qasm,16,0.0326,95,93,172,"{""measure"": 78, ""cx"": 77, ""swap"": 16, ""u"": 1, ""barrier"": 1}",0,0.0617,79,77,156,"{""measure"": 78, ""cx"": 77, ""u"": 1, ""barrier"": 1}",0.5284,100.0,
circuits/ising_n98.qasm,17,0.0555,18,10,600,"{""cx"": 194, ""u"": 145, ""u2"": 98, ""measure"": 98, ""u1"": 48, ""swap"": 17, ""barrier"": 1}",0,0.0651,16,4,1170,"{""u"": 878, ""cx"": 194, ""measure"": 98, ""barrier"": 1}",0.8525,100.0,
circuits/adder_n118.qasm,387,0.1361,811,514,2235,"{""cx"": 845, ""u"": 781, ""swap"": 387, ""measure"": 118, ""u2"": 104, ""barrier"": 1}",291,1.9047,799,437,2243,"{""u"": 989, ""cx"": 845, ""swap"": 291, ""measure"": 118, ""barrier"": 1}",0.0715,24.806,
circuits/qugan_n71.qasm,188,0.0736,418,278,714,"{""cx"": 210, ""swap"": 188, ""p"": 141, ""unitary"": 103, ""u2"": 35, ""measure"": 35, ""u"": 2}",195,1.5919,566,317,1645,"{""u"": 618, ""cx"": 552, ""p"": 245, ""swap"": 195, ""measure"": 35}",0.0462,-3.723,
circuits/multiplier_n45.qasm,1550,0.3773,3211,2078,6594,"{""u"": 2335, ""cx"": 2286, ""swap"": 1550, ""u1"": 244, ""u2"": 170, ""measure"": 9}",1531,7.2295,3723,2212,7521,"{""u"": 3407, ""cx"": 2574, ""swap"": 1531, ""measure"": 9}",0.0522,1.226,
circuits/cat_n65.qasm,14,0.0286,80,78,144,"{""measure"": 65, ""cx"": 64, ""swap"": 14, ""u"": 1, ""barrier"": 1}",0,0.0648,66,64,130,"{""measure"": 65, ""cx"": 64, ""u"": 1, ""barrier"": 1}",0.4414,100.0,
